x,y,z
190.78411269944715,-198.25384582937883,-94.58546331939996
143.29982481269573,-431.52444727858676,429.30254661550873
216.81458248648147,-561.9691409819407,485.60676248816026
5.176219191497448,159.9791435949162,-55.21291056916635
123.44228176742693,-258.9581780955174,354.4322916912362
102.41965012965872,-234.01789894995667,236.7540050756611
217.9844779089145,-754.7154358830793,750.2031163828846
116.94602819361853,-337.9858896292283,317.12066625383545
298.3108839302244,-870.4816795566189,761.0955817668738
315.92528595612526,-1151.2089851050355,1209.1963208705918
143.874649557194,-467.6420170232756,522.7837313404052
415.678500183564,-717.0152256979115,851.1430846823087
315.1479295501718,-691.1055508485147,786.0526613952852
-272.394511422432,-119.05564189051353,-686.3451390969213
195.72953669436666,-709.6440669821438,611.2891235278533
419.4658642683106,-1298.9155783899942,1171.481229653052
198.05028532942302,-517.8983706600849,625.475260700664
200.9177264603159,-512.9227952998814,613.2122384262839
172.2681843209387,-350.8479101759077,467.39190267372555
236.79884035258942,-510.93061864253195,639.6310418962079
5.855712627633534,12.715664731827717,-15.909318357815522
-218.61066402528505,-236.20616703588536,13.170164184221846
239.4003437640007,-53.105331320836015,81.55548213935421
4.988716997483308,-1.766969332886722,-13.91193154294755
32.93566754249965,-3.901959757312083,-18.70065569952701
-77.2207462161966,-265.2571506694893,-151.31903514600407
272.84767742793406,-638.2444354753084,763.6222809786178
303.2519946297136,-593.4133501750498,710.5043215654104
171.6150134433902,-358.84003831883183,336.5700298246477
217.79319354556853,-826.9521858237886,853.8404071057314
393.92752837172645,-743.4710441746158,901.1738560704306
241.9094460386303,-625.699446682206,497.79480619514743
346.6798411612172,-813.0733361367022,778.0416700254341
147.3678541996306,-376.2754303884714,397.51533119436664
738.0469835690817,-1526.0929661318326,1422.8622157002853
204.11741287621808,-388.58976753653116,442.96981749056476
258.15173336540886,-714.6339201868384,720.366478661262
143.3099152649918,-351.275644845703,413.40297740337627
596.3253817802737,-1306.880414202834,1356.9204930715875
273.8982525694867,-622.2365911225463,609.3926615439135
-96.3749987190962,191.48390399190527,174.1789041615345
46.716931303146964,-171.13761887664631,200.9363616069745
331.1556648498761,-753.3906158866326,856.0511120440162
215.1375593378996,-653.8841395740761,728.3103337009588
